datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
11/1/2020 6:00:00 AM,11/1/2020 1:00:00 AM,RFC,MIDATL,PEP,SMECO,312.486,True
11/1/2020 6:00:00 AM,11/1/2020 1:00:00 AM,RFC,MIDATL,PL,UGI,98.678,True
11/1/2020 6:00:00 AM,11/1/2020 1:00:00 AM,RFC,MIDATL,AE,VMEU,60.651,True
11/1/2020 6:00:00 AM,11/1/2020 1:00:00 AM,RTO,RTO,RTO,RTO,67129.024,False
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,RFC,MIDATL,AE,AECO,780.463,False
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,RFC,WEST,AEP,AEPAPT,3565.068,True
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,RFC,WEST,AEP,AEPIMP,2348.930,True
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,RFC,WEST,AEP,AEPKPT,526.491,True
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,RFC,WEST,AEP,AEPOPT,4738.590,True
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,RFC,WEST,AP,AP,4477.077,True
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,RFC,MIDATL,BC,BC,2524.327,False
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,RFC,WEST,CE,CE,7796.890,True
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,RFC,WEST,DAY,DAY,1381.000,False
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,RFC,WEST,DEOK,DEOK,2104.271,False
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,SERC,SOUTH,DOM,DOM,8972.391,True
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,RFC,MIDATL,DPL,DPLCO,1598.107,False
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,RFC,WEST,DUQ,DUQ,1132.432,False
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,RFC,MIDATL,DPL,EASTON,22.166,True
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,SERC,WEST,EKPC,EKPC,1090.762,False
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,RFC,MIDATL,JC,JC,1832.030,True
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,RFC,MIDATL,ME,ME,1313.127,True
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,RFC,WEST,ATSI,OE,5130.215,True
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,RFC,WEST,OVEC,OVEC,36.000,True
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,RFC,WEST,ATSI,PAPWR,401.769,True
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,RFC,MIDATL,PE,PE,3215.363,False
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,RFC,MIDATL,PEP,PEPCO,1926.669,False
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,RFC,MIDATL,PL,PLCO,3575.162,False
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,RFC,MIDATL,PN,PN,1515.577,True
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,RFC,MIDATL,PS,PS,3751.849,False
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,RFC,MIDATL,RECO,RECO,115.652,False
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,RFC,MIDATL,PEP,SMECO,304.393,True
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,RFC,MIDATL,PL,UGI,97.662,True
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,RFC,MIDATL,AE,VMEU,59.878,True
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,RTO,RTO,RTO,RTO,66334.311,False
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,RFC,MIDATL,AE,AECO,775.189,False
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,RFC,WEST,AEP,AEPAPT,3551.079,True
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,RFC,WEST,AEP,AEPIMP,2314.985,True
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,RFC,WEST,AEP,AEPKPT,524.846,True
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,RFC,WEST,AEP,AEPOPT,4712.284,True
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,RFC,WEST,AP,AP,4465.051,True
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,RFC,MIDATL,BC,BC,2495.141,False
