datetime_date,datetime_time,mw
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,1835.465
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,1313.822
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,5104.321
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,38
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,411.456
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,3209.774
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,1955.08
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,3559.365
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,1499.144
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,3711.842
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,113.95
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,297.209
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,102.478
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,59.038
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,66351.458
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,797.266
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,3598.371
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,2392.339
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,518.416
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,4768.415
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,4538.476
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,2579.83
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,8025.249
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,1400
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,2145.645
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,9181.513
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,1638.534
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,1144.332
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,22.667
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,1117.315
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,1863.907
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,1344.352
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,5199.264
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,47
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,409.277
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,3260.491
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,1983.69
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,3657.268
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,1523.183
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,3774.869
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,115.554
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,303.484
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,105.302
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,59.948
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,67515.957
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,818.679
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,3731.382
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,2529.208
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,526.475
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,4863.805
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,4670.242
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,2666.354
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,8256.145
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,1449
