route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,avg_riders,sum_ridership,day_count
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-10-04,201810,SAT.,4998,,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-10-01,201810,SUN.,1384,,4
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-10-05,201810,SUN.,4081,,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-10-01,201810,WEEKDAY,2284,,23
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-10-23,201810,WEEKDAY,6963,,23
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-11-01,201811,SAT.,1789,,4
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-11-04,201811,SAT.,4597,,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-11-01,201811,SUN.,1208,,5
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-11-05,201811,SUN.,3159,,5
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-11-01,201811,WEEKDAY,2188,,21
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-11-21,201811,WEEKDAY,6537,,21
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-12-01,201812,SAT.,1966,,5
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-12-05,201812,SAT.,3994,,5
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-12-01,201812,SUN.,1300,,6
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-12-06,201812,SUN.,2959,,6
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-12-01,201812,WEEKDAY,2175,,20
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-12-20,201812,WEEKDAY,5483,,20
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-01-01,201901,SAT.,1828,,4
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2019-01-04,201901,SAT.,4071,,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-01-01,201901,SUN.,1164,,5
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2019-01-05,201901,SUN.,3151,,5
