route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,avg_riders,day_count
91,91,91 - BUTLER STREET,Ross,Bus,2017-07-01,201707,SAT.,2157,5
G2,G2,G2 - WEST BUSWAY,Collier,Bus,2017-07-01,201707,SAT.,1066,5
P1,P1,P1 - EAST BUSWAY-ALL STOPS,East Liberty,Bus,2017-07-01,201707,SAT.,5283,5
Y46,Y46,Y46 - ELIZABETH FLYER,West Mifflin,Bus,2017-07-01,201707,SAT.,872,5
Y47,Y47,Y47 - CURRY FLYER,West Mifflin,Bus,2017-07-01,201707,SAT.,462,5
Y49,Y49,Y49 - PROSPECT FLYER,West Mifflin,Bus,2017-07-01,201707,SAT.,555,5
1,1,1 - FREEPORT ROAD,Ross,Bus,2017-07-01,201707,SUN.,1026,6
6,6,6 - SPRING HILL,Ross,Bus,2017-07-01,201707,SUN.,524,6
8,8,8 - PERRYSVILLE,Ross,Bus,2017-07-01,201707,SUN.,1281,6
11,11,11 - FINEVIEW,Ross,Bus,2017-07-01,201707,SUN.,165,6
12,12,12 - MCKNIGHT,Ross,Bus,2017-07-01,201707,SUN.,789,6
13,13,13 - BELLEVUE,Ross,Bus,2017-07-01,201707,SUN.,796,6
14,14,14 - OHIO VALLEY,Ross,Bus,2017-07-01,201707,SUN.,448,6
15,15,15 - CHARLES,Ross,Bus,2017-07-01,201707,SUN.,475,6
16,16,16 - BRIGHTON,Ross,Bus,2017-07-01,201707,SUN.,1557,6
17,17,17 - SHADELAND,Ross,Bus,2017-07-01,201707,SUN.,605,6
21,21,21 - CORAOPOLIS,Collier,Bus,2017-07-01,201707,SUN.,412,6
24,24,24 - WEST PARK,Collier,Bus,2017-07-01,201707,SUN.,1000,6
26,26,26 - CHARTIERS,Collier,Bus,2017-07-01,201707,SUN.,391,6
27,27,27 - FAIRYWOOD,Collier,Bus,2017-07-01,201707,SUN.,526,6
28X,028X,28X - AIRPORT FLYER,East Liberty,Bus,2017-07-01,201707,SUN.,1386,6
31,31,31 - BRIDGEVILLE,Collier,Bus,2017-07-01,201707,SUN.,663,6
38,38,38 - GREEN TREE,Collier,Bus,2017-07-01,201707,SUN.,219,6
40,40,40 - MOUNT WASHINGTON,Collier,Bus,2017-07-01,201707,SUN.,170,6
41,41,41 - BOWER HILL,Collier,Bus,2017-07-01,201707,SUN.,374,6
43,43,43 - BAILEY,Collier,Bus,2017-07-01,201707,SUN.,293,6
44,44,44 - VIA KNOXVILLE,Collier,Bus,2017-07-01,201707,SUN.,258,6
48,48,48 - ARLINGTON,Collier,Bus,2017-07-01,201707,SUN.,1120,6
51,51,51 - CARRICK,West Mifflin,Bus,2017-07-01,201707,SUN.,3546,6
54,54,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Ross,Bus,2017-07-01,201707,SUN.,930,6
55,55,55 - GLASSPORT,West Mifflin,Bus,2017-07-01,201707,SUN.,574,6
56,56,56 - LINCOLN PLACE,West Mifflin,Bus,2017-07-01,201707,SUN.,606,6
57,57,57 - HAZELWOOD,West Mifflin,Bus,2017-07-01,201707,SUN.,754,6
58,58,58 - GREENFIELD,East Liberty,Bus,2017-07-01,201707,SUN.,153,6
59,59,59 - MON VALLEY,West Mifflin,Bus,2017-07-01,201707,SUN.,1391,6
61A,061A,61A - NORTH BRADDOCK,West Mifflin,Bus,2017-07-01,201707,SUN.,2026,6
61B,061B,61B - BRADDOCK-SWISSVALE,West Mifflin,Bus,2017-07-01,201707,SUN.,1558,6
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-07-09,201707,SUN.,3215,6
61D,061D,61D - MURRAY,West Mifflin,Bus,2017-07-01,201707,SUN.,1783,6
64,64,64 - LAWRENCEVILLE - WATERFRONT,East Liberty/West Mifflin,Bus,2017-07-01,201707,SUN.,1014,6
67,67,67 - MONROEVILLE,East Liberty,Bus,2017-07-01,201707,SUN.,346,6
68,68,68 - BRADDOCK HILLS,East Liberty,Bus,2017-07-01,201707,SUN.,259,6
69,69,69 - TRAFFORD,East Liberty,Bus,2017-07-01,201707,SUN.,268,6
71A,071A,71A - NEGLEY,East Liberty,Bus,2017-07-01,201707,SUN.,1439,6
71B,071B,71B - HIGHLAND PARK,East Liberty,Bus,2017-07-01,201707,SUN.,1131,6
71C,071C,71C - POINT BREEZE,East Liberty,Bus,2017-07-01,201707,SUN.,1743,6
71D,071D,71D - HAMILTON,East Liberty,Bus,2017-07-01,201707,SUN.,1161,6
75,75,75 - ELLSWORTH,East Liberty,Bus,2017-07-01,201707,SUN.,1264,6
77,77,77 - PENN HILLS,East Liberty,Bus,2017-07-01,201707,SUN.,756,6
79,79,79 - EAST HILLS,East Liberty,Bus,2017-07-01,201707,SUN.,435,6
81,81,81 - OAK HILL,West Mifflin,Bus,2017-07-01,201707,SUN.,664,6
82,82,82 - LINCOLN,East Liberty,Bus,2017-07-01,201707,SUN.,1983,6
83,83,83 - BEDFORD HILL,West Mifflin,Bus,2017-07-01,201707,SUN.,973,6
86,86,86 - LIBERTY,East Liberty,Bus,2017-07-01,201707,SUN.,1824,6
87,87,87 - FRIENDSHIP,East Liberty,Bus,2017-07-01,201707,SUN.,247,6
88,88,88 - PENN,East Liberty,Bus,2017-07-01,201707,SUN.,1270,6
89,89,89 - GARFIELD COMMONS,East Liberty,Bus,2017-07-01,201707,SUN.,173,6
91,91,91 - BUTLER STREET,Ross,Bus,2017-07-01,201707,SUN.,1292,6
G2,G2,G2 - WEST BUSWAY,Collier,Bus,2017-07-01,201707,SUN.,893,6
P1,P1,P1 - EAST BUSWAY-ALL STOPS,East Liberty,Bus,2017-07-01,201707,SUN.,3737,6
Y46,Y46,Y46 - ELIZABETH FLYER,West Mifflin,Bus,2017-07-01,201707,SUN.,754,6
Y49,Y49,Y49 - PROSPECT FLYER,West Mifflin,Bus,2017-07-01,201707,SUN.,441,6
1,1,1 - FREEPORT ROAD,Ross,Bus,2017-07-01,201707,WEEKDAY,1781,20
2,2,2 - MOUNT ROYAL,Ross,Bus,2017-07-01,201707,WEEKDAY,926,20
4,4,4 - TROY HILL,Ross,Bus,2017-07-01,201707,WEEKDAY,653,20
6,6,6 - SPRING HILL,Ross,Bus,2017-07-01,201707,WEEKDAY,1112,20
7,7,7 - SPRING GARDEN,Ross,Bus,2017-07-01,201707,WEEKDAY,104,20
8,8,8 - PERRYSVILLE,Ross,Bus,2017-07-01,201707,WEEKDAY,3223,20
11,11,11 - FINEVIEW,Ross,Bus,2017-07-01,201707,WEEKDAY,523,20
12,12,12 - MCKNIGHT,Ross,Bus,2017-07-01,201707,WEEKDAY,1034,20
13,13,13 - BELLEVUE,Ross,Bus,2017-07-01,201707,WEEKDAY,2058,20
14,14,14 - OHIO VALLEY,Ross,Bus,2017-07-01,201707,WEEKDAY,1295,20
15,15,15 - CHARLES,Ross,Bus,2017-07-01,201707,WEEKDAY,1028,20
16,16,16 - BRIGHTON,Ross,Bus,2017-07-01,201707,WEEKDAY,3940,20
17,17,17 - SHADELAND,Ross,Bus,2017-07-01,201707,WEEKDAY,1244,20
18,18,18 - MANCHESTER,Ross,Bus,2017-07-01,201707,WEEKDAY,111,20
19L,019L,19L - EMSWORTH LIMITED,Ross,Bus,2017-07-01,201707,WEEKDAY,581,20
20,20,20 - KENNEDY,Collier,Bus,2017-07-01,201707,WEEKDAY,602,20
21,21,21 - CORAOPOLIS,Collier,Bus,2017-07-01,201707,WEEKDAY,1415,20
22,22,22 - MCCOY,Collier,Bus,2017-07-01,201707,WEEKDAY,829,20
